,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
298,corum,tr,38.8,29.89,4.06,4.21,88.0,0.0
299,la vergne,us,36.02,-86.58,11.0,5.1,36.0,1.0
300,kalaswala,pk,32.2,74.65,18.0,1.0,100.0,20.0
301,mineiros,br,-17.57,-52.55,27.51,1.41,80.0,24.0
302,abaete,br,-19.16,-45.45,30.76,1.16,52.0,64.0
304,kaupanger,no,61.18,7.24,-7.89,0.86,100.0,32.0
305,bichena,et,10.45,38.2,14.66,0.91,51.0,0.0
306,san matias,bo,-16.36,-58.4,32.21,3.76,62.0,44.0
307,sudak,ua,44.85,34.97,8.16,2.26,84.0,76.0
309,manlleu,es,42.0,2.28,9.0,0.51,100.0,20.0
310,kholmogory,ru,64.23,41.65,-5.0,4.0,100.0,90.0
311,gigmoto,ph,13.78,124.39,24.86,3.76,100.0,64.0
312,korla,cn,41.76,86.15,-0.39,1.21,81.0,0.0
313,toledo,br,-24.72,-53.74,29.0,4.1,58.0,20.0
314,pobe,bj,6.98,2.66,28.06,3.91,63.0,8.0
315,bandipur,in,11.67,76.63,19.01,0.26,92.0,64.0
316,ilorin,ng,8.5,4.55,26.16,1.16,60.0,0.0
317,tera,ne,14.01,0.75,25.16,2.86,26.0,0.0
318,alanya,tr,36.55,32.0,12.11,3.86,100.0,68.0
319,blenheim,ca,42.33,-82.0,-0.34,7.11,83.0,68.0
320,necochea,ar,-38.55,-58.74,18.26,5.66,65.0,0.0
321,taywarah,af,33.35,64.42,-1.69,1.41,93.0,8.0
322,machico,pt,32.7,-16.77,17.0,1.5,77.0,20.0
323,coquimbo,cl,-29.95,-71.34,20.0,5.1,60.0,0.0
324,lantawan,ph,10.57,123.77,25.0,2.1,83.0,75.0
325,rabak,sd,13.18,32.74,19.96,2.96,26.0,0.0
326,salug,ph,8.11,122.76,25.56,5.71,94.0,32.0
327,korem,et,12.51,39.52,12.31,0.46,90.0,48.0
328,san joaquin,bo,-16.38,-58.39,32.21,3.76,62.0,44.0
329,solginskiy,ru,61.05,41.34,3.36,7.51,96.0,92.0
330,vrangel,ru,42.73,133.08,0.51,3.66,96.0,12.0
331,katsina,ng,12.99,7.6,23.71,3.36,22.0,0.0
332,iguape,br,-24.7,-47.56,26.36,5.76,95.0,32.0
333,tuscaloosa,us,33.21,-87.57,15.0,2.6,30.0,1.0
334,masvingo,zw,-20.08,30.83,16.46,3.11,96.0,12.0
335,karoi,zw,-16.82,29.68,17.86,1.71,91.0,0.0
336,mokhsogollokh,ru,61.4,128.95,-20.54,2.51,80.0,48.0
337,severo-kurilsk,ru,50.68,156.12,-0.79,7.51,97.0,88.0
338,kourou,gf,5.16,-52.64,27.0,3.6,74.0,75.0
339,nova olimpia,br,-14.8,-57.29,31.26,2.11,66.0,20.0
340,guiratinga,br,-16.35,-53.76,29.26,1.51,82.0,0.0
341,veraval,in,20.9,70.37,22.41,4.31,67.0,0.0
342,sinop,tr,42.03,35.15,10.91,6.81,88.0,92.0
343,gunjur,gm,13.18,-16.76,23.0,5.1,78.0,5.0
344,kudahuvadhoo,mv,2.67,72.89,27.76,2.21,100.0,80.0
345,zhangye,cn,38.94,100.46,0.51,1.36,66.0,0.0
346,eldorado,ar,-26.4,-54.63,31.21,0.81,58.0,20.0
348,robertsport,lr,6.75,-11.37,26.51,2.26,100.0,24.0
349,bella vista,py,-27.04,-55.58,25.0,3.1,94.0,75.0
350,iracoubo,gf,5.48,-53.21,27.86,3.41,63.0,20.0
351,ongandjera,na,-17.88,15.07,28.01,4.21,38.0,80.0
352,eydhafushi,mv,5.1,73.07,27.36,6.61,100.0,76.0
353,keta,gh,5.92,0.99,29.0,6.7,83.0,20.0
355,chak jhumra,pk,31.57,73.18,17.16,6.11,87.0,20.0
356,sunndalsora,no,62.68,8.55,0.0,1.0,61.0,0.0
357,wajir,ke,1.75,40.07,21.96,3.76,97.0,36.0
358,bayji,iq,34.93,43.49,12.76,2.41,60.0,8.0
359,morganton,us,35.75,-81.69,11.0,5.1,31.0,1.0
360,caramay,ph,10.18,119.24,26.26,5.71,100.0,76.0
361,fernley,us,39.61,-119.25,17.0,7.7,66.0,40.0
362,ormond beach,us,29.29,-81.06,19.0,3.6,47.0,5.0
363,vermilion,us,41.42,-82.36,1.0,6.7,88.0,75.0
364,rapu-rapu,ph,13.19,124.13,27.06,6.11,98.0,76.0
365,masyaf,sy,35.06,36.34,13.0,2.1,87.0,40.0
366,agirish,ru,61.92,63.02,-8.29,3.21,79.0,44.0
367,zile,tr,40.3,35.89,10.0,2.6,87.0,40.0
368,phalombe,mw,-15.81,35.65,20.01,1.11,97.0,76.0
369,briceno,co,7.11,-75.55,22.81,0.76,78.0,68.0
370,staryy nadym,ru,65.61,72.68,-9.09,5.46,85.0,88.0
371,mackay,au,-21.15,149.2,23.0,5.7,83.0,88.0
372,linqiong,cn,30.42,103.46,12.0,0.86,93.0,0.0
373,scarborough,tt,11.18,-60.73,28.0,6.7,65.0,20.0
374,rosarito,mx,27.04,-109.91,30.0,4.6,28.0,75.0
375,evinayong,gq,1.44,10.55,22.96,1.46,95.0,32.0
376,chopinzinho,br,-25.86,-52.53,25.56,0.76,84.0,44.0
377,grand-santi,gf,4.27,-54.38,29.61,1.96,58.0,64.0
378,mahebourg,mu,-20.41,57.7,27.0,8.2,78.0,40.0
379,port elizabeth,za,-33.92,25.57,20.0,6.2,88.0,0.0
380,monchegorsk,ru,67.94,32.93,-9.34,2.46,78.0,68.0
381,terrasini,it,38.15,13.08,15.0,5.7,67.0,40.0
382,kampot,kh,10.62,104.18,22.11,0.61,97.0,32.0
383,boa esperanca,br,-1.91,-60.0,27.16,1.41,84.0,24.0
385,tibiao,ph,11.29,122.03,24.76,6.01,100.0,20.0
386,charlottesville,us,38.03,-78.48,8.0,6.7,33.0,90.0
387,kirovsk,ru,67.62,33.66,-9.74,2.21,80.0,68.0
388,sorrento,it,40.63,14.37,13.0,1.0,62.0,20.0
389,joao pinheiro,br,-17.74,-46.17,28.96,1.76,57.0,0.0
390,taquaritinga,br,-21.41,-48.51,32.51,1.16,45.0,56.0
391,lorengau,pg,-2.02,147.27,28.36,4.16,99.0,48.0
392,potiskum,ng,11.71,11.08,24.61,3.66,23.0,0.0
393,messina,za,-22.35,30.04,21.96,2.96,84.0,0.0
394,christiansburg,us,37.13,-80.41,5.0,2.6,64.0,75.0
395,jalingo,ng,9.93,13.08,21.66,1.81,39.0,0.0
396,amga,ru,60.89,131.98,-24.04,1.61,72.0,64.0
397,sangar,ru,63.92,127.47,-25.89,2.06,65.0,64.0
398,ballitoville,za,-29.54,31.21,21.01,3.76,84.0,0.0
400,yushu,cn,44.84,126.53,-3.84,4.81,91.0,92.0
401,port lincoln,au,-34.72,135.86,15.66,3.71,100.0,32.0
402,syasstroy,ru,60.14,32.56,3.61,4.81,95.0,88.0
403,skeldon,gy,5.88,-57.13,27.31,6.71,91.0,36.0
404,bafra,tr,41.57,35.91,14.0,1.5,67.0,75.0
405,terre haute,us,39.47,-87.41,5.0,6.7,59.0,90.0
406,oyem,ga,1.6,11.57,23.76,1.41,89.0,80.0
407,hermanus,za,-34.42,19.24,16.36,1.26,94.0,76.0
408,huntington,us,40.87,-73.43,6.0,8.2,60.0,90.0
409,twentynine palms,us,34.14,-116.05,31.0,4.6,25.0,75.0
410,nedjo,et,9.5,35.5,14.26,1.61,52.0,8.0
411,tignere,cm,7.37,12.65,21.01,2.66,34.0,0.0
412,kondinskoye,ru,59.65,67.41,-12.04,3.41,81.0,24.0
413,casas grandes,mx,30.15,-110.24,27.76,1.21,24.0,44.0
414,dromolaxia,cy,34.88,33.59,16.0,1.5,93.0,40.0
415,apt,fr,43.88,5.4,9.0,3.1,70.0,0.0
416,bloomfield,us,40.81,-74.19,5.0,10.8,48.0,1.0
417,colon,co,1.19,-76.97,23.0,4.1,64.0,40.0
418,taloqan,af,36.74,69.54,3.46,1.16,100.0,92.0
419,maceio,br,-9.67,-35.74,27.0,5.1,83.0,0.0
420,puerto escondido,co,9.0,-76.26,32.0,5.7,59.0,40.0
422,mikuni,jp,36.22,136.15,10.0,2.1,57.0,20.0
423,iralaya,hn,15.0,-83.23,28.86,3.91,74.0,12.0
424,sapa,ph,14.32,120.76,25.0,2.6,88.0,20.0
425,baculin,ph,7.45,126.58,24.26,4.56,97.0,0.0
426,yemtsa,ru,63.06,40.33,-0.34,1.71,94.0,92.0
427,foumbot,cm,5.51,10.64,19.96,2.41,81.0,0.0
428,pinega,ru,64.7,43.39,-5.29,1.86,90.0,92.0
429,ponta delgada,pt,37.73,-25.67,14.0,14.4,87.0,75.0
430,duartina,br,-22.41,-49.41,27.0,1.0,78.0,75.0
432,togitsu,jp,32.83,129.83,11.0,4.1,93.0,40.0
433,santa barbara,co,4.88,-74.24,18.0,6.2,63.0,40.0
434,changtu,cn,42.78,124.11,-1.49,1.21,85.0,88.0
436,shu,kz,43.6,73.76,6.16,2.21,100.0,92.0
437,goldsboro,us,35.38,-77.99,11.0,3.1,37.0,40.0
439,jiaonan,cn,35.88,119.98,15.0,4.0,62.0,0.0
440,molave,ph,8.09,123.48,22.11,1.96,88.0,12.0
441,gaya,ne,11.88,3.46,26.56,3.01,37.0,0.0
442,stranda,no,62.31,6.93,0.0,0.71,85.0,0.0
443,ossora,ru,59.24,163.07,-26.44,1.76,69.0,0.0
444,souillac,mu,-20.52,57.52,27.0,8.2,78.0,40.0
445,bon air,us,37.52,-77.56,9.0,4.6,28.0,40.0
446,kaitangata,nz,-46.28,169.85,12.96,7.86,64.0,12.0
447,iles,co,0.95,-77.52,23.0,5.7,55.0,40.0
